ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.1747;2.7497;9.938;-2.7018;1.6887;9.2746;-0.5384;0.9993;0.2231;-0.4397;-0.4789;-0.4245;60.0;-28.57;11.04;-56.47;66.74;-9.92;16.24;5.0;992.95;46.058;35.95829;-83.92439;835.9;NaN;;0.0;19.281912;;9 / 14;9;2022-10-28 14:31:27:702
-0.7014;1.2508;8.3447;-1.0763;0.049;9.7473;-0.3889;0.8644;-1.2115;0.0546;0.0438;-0.9253;59.0;-38.03;9.81;-53.89;77.1;-2.35;15.59;5.0;992.86;47.781;35.958286;-83.924385;837.14;NaN;;0.0;15.437897;;10 / 15;510;2022-10-28 14:31:28:203
3.0739;0.9817;12.4792;0.3962;1.3851;9.7002;0.1328;0.4683;-1.6603;0.2611;-0.3281;-0.6351;35.0;-47.34;-18.84;-40.65;105.73;-8.12;-2.34;5.0;992.94;46.217;35.958286;-83.924385;837.14;NaN;;0.0;15.437897;;10 / 15;1010;2022-10-28 14:31:28:703
0.8979;-0.6009;7.3056;2.7104;-0.191;9.4227;-1.5177;-1.1428;-0.3915;-0.5534;-0.0531;-0.5349;22.0;-50.42;-21.45;-31.71;117.22;0.66;-12.67;5.0;992.96;46.573;35.9583;-83.92434;836.57;NaN;;0.0;13.624885;;10 / 15;1510;2022-10-28 14:31:29:203
10.8512;-1.2413;1.1288;8.4601;2.3092;4.3891;-2.6246;-0.9081;2.8123;0.7652;-2.7178;0.4862;18.0;-51.26;-12.92;-10.46;93.49;-13.62;-62.58;5.0;993.03;48.97;35.9583;-83.92434;836.57;NaN;;0.0;13.624885;;10 / 15;2009;2022-10-28 14:31:29:702
9.8973;-1.2126;-0.0299;9.2506;-3.1436;-0.8448;2.3557;0.9778;2.9873;0.0771;-0.0321;0.0996;41.0;-31.61;-1.16;17.57;127.9;18.7;-95.22;5.0;993.02;48.839;35.95829;-83.92434;833.87;NaN;;0.0;12.503478;;10 / 15;2508;2022-10-28 14:31:30:201
6.9009;-2.5786;-0.0957;9.7048;-1.4076;0.076;3.9561;-2.4473;-1.4049;0.4012;0.2618;-0.663;62.0;-27.0;-7.73;20.12;120.21;8.25;-89.55;5.0;993.07;50.612;35.95829;-83.92434;833.87;NaN;;0.0;12.503478;;10 / 15;3010;2022-10-28 14:31:30:703
8.5624;-1.2066;-0.9589;9.2326;-3.2042;-0.8144;4.0251;0.4614;-0.5488;0.3169;0.191;0.0229;64.0;-23.31;-11.25;32.89;121.4;19.07;-95.04;5.0;993.07;50.336;35.95829;-83.92434;833.87;NaN;;0.0;12.503478;;10 / 15;3509;2022-10-28 14:31:31:202
8.1003;-1.8613;0.1974;9.4893;-2.363;-0.7351;-0.9892;-0.6502;-0.0063;-6.0E-4;-0.5078;-0.168;57.0;-36.77;-5.21;42.68;110.86;16.05;-92.97;5.0;993.09;48.28;35.95829;-83.92434;833.87;NaN;;0.0;12.503478;;10 / 15;4008;2022-10-28 14:31:31:701
12.4289;-4.9475;-0.8859;9.1386;-3.4261;-0.9587;0.709;4.0285;-0.1162;2.0521;-1.8855;-0.9054;46.0;-42.09;4.56;37.03;109.15;20.45;-95.99;5.0;993.13;48.917;35.95829;-83.92434;833.87;NaN;;0.0;12.503478;;10 / 15;4508;2022-10-28 14:31:32:201
10.5509;3.7193;1.2353;9.6529;1.0962;-1.3381;2.9656;1.6216;3.1347;-0.8912;0.1787;0.6021;43.0;-39.51;-2.16;27.04;81.04;-7.68;-95.2;5.0;993.16;52.12;35.95829;-83.92434;833.87;NaN;;0.0;12.503478;;10 / 15;5009;2022-10-28 14:31:32:702
6.7585;0.2357;-0.4298;8.2206;5.0686;-1.7031;1.2954;-4.5449;2.7052;1.528;0.3766;-1.6905;34.0;-45.71;-14.77;32.81;58.83;-31.12;-101.7;5.0;993.17;53.962;35.95829;-83.92434;833.87;NaN;;0.0;12.503478;;10 / 15;5509;2022-10-28 14:31:33:202
8.6282;5.9937;-1.3238;8.4422;4.4063;-2.3416;0.5312;1.1586;0.5371;1.3371;0.7014;-0.8752;24.0;-61.8;-9.58;15.77;356.67;-26.7;-105.5;5.0;993.15;47.694;35.95829;-83.92434;833.87;NaN;;0.0;12.503478;;10 / 15;6009;2022-10-28 14:31:33:702
7.7055;4.2401;-0.7564;6.9293;6.8437;-1.1483;0.5553;-2.8101;-0.0217;-0.7042;0.6102;-0.2024;40.0;-44.64;-14.72;-5.91;305.24;-42.24;-111.46;5.0;993.15;46.79;35.95829;-83.92434;833.87;NaN;;0.0;12.503478;;10 / 15;6510;2022-10-28 14:31:34:203
7.9938;6.9751;2.3151;8.3791;5.0944;-0.0888;-1.8307;1.6974;0.7461;1.2219;0.4066;-0.0231;65.0;-37.26;-11.08;-21.97;297.59;-35.01;-91.29;5.0;993.15;47.112;35.95829;-83.92434;833.87;NaN;;0.0;12.503478;;10 / 15;7009;2022-10-28 14:31:34:702
6.6927;3.8844;0.2728;6.853;7.0136;0.1294;0.7976;-2.9218;0.353;1.0532;0.8642;-0.6338;64.0;-17.85;-10.82;-23.59;278.31;-42.75;-91.92;5.0;993.14;44.154;35.95829;-83.92434;833.87;NaN;;0.0;12.503478;;10 / 15;7509;2022-10-28 14:31:35:202
