sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.6583;2.5172;8.3195;-3.7917;1.7219;8.8785;0.0703;0.6052;-0.6905;-0.2465;0.5706;0.0018;350.0;11.91;-33.04;-27.43;180.91;-10.11;23.13;2.0;986.54;50.471;35.958313;-83.924614;737.83;NaN;;0.0;12.761485;;13 / 18;7;2022-10-26 21:25:01:725
-4.1345;-0.6619;8.9791;-3.283;-0.1187;9.24;-1.1669;-0.5911;0.7737;0.1171;-0.6696;-0.6251;333.0;20.76;-30.06;-27.51;198.14;-1.4;21.02;2.0;986.54;55.748;35.958313;-83.924614;737.83;NaN;;0.0;12.761485;;13 / 18;508;2022-10-26 21:25:02:226
-2.6838;-0.1842;10.0576;-3.0108;-0.7166;9.3055;0.9069;2.5955;0.8581;0.8481;-0.4551;1.7655;417.0;25.74;-25.65;-29.68;212.91;1.89;14.63;2.0;986.51;56.587;35.958313;-83.924614;737.83;NaN;;0.0;12.761485;;13 / 18;1008;2022-10-26 21:25:02:726
-3.3422;2.9853;6.3646;-3.5267;2.651;8.7581;0.3181;0.2808;-1.4955;0.3945;0.7489;0.3603;411.0;18.06;-33.96;-24.02;196.06;-9.58;20.87;2.0;986.53;49.909;35.958313;-83.924614;737.83;NaN;;0.0;12.761485;;13 / 18;1507;2022-10-26 21:25:03:225
-4.0519;1.5407;6.2605;-3.3713;0.7798;9.1759;1.5926;1.5019;0.3057;-0.1189;-0.2062;0.6344;323.0;21.77;-36.26;-19.46;202.6;-4.56;20.17;2.0;986.56;54.423;35.958305;-83.92461;737.8;NaN;;0.0;12.226105;;13 / 18;2007;2022-10-26 21:25:03:725
-1.8733;1.0929;7.7665;-3.0959;2.5065;8.9612;4.1094;-1.6346;0.4242;0.0874;1.0765;3.8027;125.0;-5.31;-45.21;-26.94;160.09;-14.81;19.06;2.0;986.61;49.543;35.958305;-83.92461;737.8;NaN;;0.0;12.226105;;13 / 18;2507;2022-10-26 21:25:04:225
-4.4997;1.7632;9.7582;-4.1575;1.9562;8.6636;1.0715;0.7828;-0.4085;-0.1878;0.4855;-1.0663;62.0;-36.32;-33.19;-39.23;119.96;-11.51;25.64;2.0;986.57;48.468;35.958305;-83.92459;739.21;NaN;;3.13;12.226105;103.3;14 / 18;3007;2022-10-26 21:25:04:725
-0.9135;3.5013;8.7685;-3.7515;1.0638;8.9981;-1.1791;-1.5367;-0.8436;2.1257;-3.0917;0.6383;33.0;-33.02;-22.57;-51.66;114.16;0.01;24.0;2.0;986.57;51.033;35.958305;-83.92459;739.21;NaN;;3.13;12.226105;103.3;14 / 18;3508;2022-10-26 21:25:05:226
2.144;5.2382;8.2167;2.208;5.2173;8.0047;-1.9776;-1.1458;-1.501;0.7579;-1.3002;-0.3816;32.0;-51.88;-22.07;-30.0;93.37;-28.27;-5.48;2.0;986.59;54.056;35.958298;-83.92458;745.85;NaN;;1.87;12.454771;114.1;13 / 18;4007;2022-10-26 21:25:05:725
3.0703;9.2016;3.4295;4.2839;8.564;2.1157;-0.8693;-1.282;-2.6164;0.5563;0.0515;-0.0596;20.0;-52.24;-17.33;-2.25;32.6;-60.84;-63.72;2.0;986.6;51.745;35.958298;-83.92458;745.85;NaN;;1.87;12.454771;114.1;13 / 18;4507;2022-10-26 21:25:06:225
