ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.4342;5.1808;9.5919;-1.104;3.9098;8.9255;-0.0967;0.029;-0.6606;-0.269;-0.7777;-0.4462;5.0;23.89;-24.09;0.19;228.82;-23.5;7.05;2.0;991.46;71.375;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;9;2022-10-23 22:42:42:142
2.0806;1.9956;10.1366;1.5614;2.6391;9.3149;1.7527;-1.5565;-0.7286;0.4298;-0.2527;-0.9519;2.0;20.61;-31.67;-15.69;219.53;-13.24;-9.7;2.0;991.39;42.323;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;509;2022-10-23 22:42:42:642
0.6141;2.0722;7.7486;0.3319;2.6879;9.4253;-2.6307;-1.7838;1.0818;0.4261;-0.0902;1.0948;2.0;27.71;-35.78;-28.48;226.78;-15.91;-2.02;2.0;991.31;71.986;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;1010;2022-10-23 22:42:43:143
1.3178;-0.4059;9.0233;1.8851;1.5743;9.4941;2.355;-2.0917;-0.0133;-0.4455;0.9741;-1.5706;2.0;29.63;-40.84;-34.76;223.18;-6.87;-8.42;2.0;991.41;70.623;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;1508;2022-10-23 22:42:43:641
0.2752;0.213;8.7625;-0.8363;2.5223;9.4398;0.9812;-1.6061;-0.6401;0.0471;1.1329;0.2707;1.0;39.36;-9.47;-36.71;269.68;-14.16;-3.24;2.0;991.32;68.429;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;2008;2022-10-23 22:42:44:141
-2.6587;-0.3138;8.8798;-3.2348;-1.6829;9.1035;-3.1474;-1.0817;3.8507;0.2834;-0.1417;-0.4207;1.0;56.64;9.39;-16.5;283.19;-3.49;20.96;2.0;991.35;66.367;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;2509;2022-10-23 22:42:44:642
-4.1429;-2.0913;8.2669;-2.6358;1.3389;9.3504;-2.4312;-3.5231;-2.5195;0.4863;1.0882;0.0137;2.0;63.75;32.34;-14.27;299.45;-4.58;10.97;2.0;991.33;69.497;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;3008;2022-10-23 22:42:45:141
-0.62;1.2018;7.9484;-2.2615;-0.5797;9.5247;2.0398;-0.9468;3.8549;0.9338;-0.4159;-0.2727;2.0;63.92;37.16;-14.66;307.75;-9.14;20.53;2.0;991.32;65.038;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;3508;2022-10-23 22:42:45:641
-0.9063;-0.8222;10.4994;-1.2966;0.7091;9.6947;1.4671;0.7173;-1.4118;0.2914;1.0072;-0.047;4.0;50.98;43.35;-21.13;313.22;-4.15;7.62;2.0;991.26;70.005;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;4009;2022-10-23 22:42:46:142
-0.9577;1.494;8.2035;-0.7418;1.1847;9.7065;0.6859;-0.2585;0.2419;0.4968;-0.4932;-0.4427;5.0;53.51;33.36;-18.51;308.33;-8.53;14.87;2.0;991.28;70.777;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;4508;2022-10-23 22:42:46:641
-0.778;-3.6305;13.188;-1.7367;-0.8494;9.6142;0.5048;1.3476;5.1174;0.1077;0.1874;-2.2537;6.0;47.55;38.18;-17.08;308.89;4.97;10.24;2.0;991.24;62.681;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;5009;2022-10-23 22:42:47:142
-1.4581;1.7142;9.5656;-2.0414;0.4826;9.5797;-0.2412;0.7185;-2.3329;0.4092;-0.2474;-0.1151;6.0;38.03;39.26;-21.64;320.78;0.15;13.6;2.0;991.27;58.207;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;5508;2022-10-23 22:42:47:641
-4.5691;0.5626;9.5369;-1.728;0.6117;9.6338;-0.028;0.7982;-2.6078;-0.294;0.4581;-0.607;4.0;26.49;27.36;-37.01;327.14;-3.58;10.17;2.0;991.24;68.697;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;6008;2022-10-23 22:42:48:141
-1.2915;1.0989;6.6102;-3.093;1.8924;9.1117;3.2205;-0.1013;-1.1384;1.1292;-0.4749;-0.3803;2.0;25.71;17.81;-40.48;335.08;-3.84;21.17;2.0;991.24;72.068;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;6509;2022-10-23 22:42:48:642
-0.8596;3.0308;9.0736;-0.612;1.1939;9.7144;-1.508;0.5964;-1.5544;0.3974;-0.459;-0.2299;5.0;20.4;4.5;-43.97;301.32;-6.99;3.6;2.0;991.21;68.761;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;7009;2022-10-23 22:42:49:142
-3.6488;1.6842;7.113;-3.4127;1.9788;8.9782;2.9231;-0.0644;1.5417;1.347;0.1954;-0.868;8.0;10.88;-1.78;-41.87;312.87;-11.85;4.93;2.0;991.22;65.976;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;7509;2022-10-23 22:42:49:642
-0.3748;3.5001;7.8969;-1.6175;2.4731;9.3508;1.0076;0.8154;-1.8784;0.0142;-0.7282;-0.6856;1.0;15.86;-3.28;-33.68;315.16;-16.35;13.77;2.0;991.15;65.103;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;8009;2022-10-23 22:42:50:142
0.0514;1.4617;5.4634;-0.1319;3.2821;9.2402;2.3467;-1.3314;3.6749;0.5875;0.2413;-0.2421;1.0;1.14;3.09;-36.75;16.46;-11.89;6.37;2.0;991.28;67.834;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;8508;2022-10-23 22:42:50:641
-4.0938;-1.8613;15.6897;1.1203;0.3678;9.7355;1.2069;0.184;-0.9152;-0.47;-0.2572;-1.3554;1.0;-11.1;9.73;-37.03;35.43;-3.29;-3.62;2.0;991.19;71.289;35.9585;-83.92435;741.94;NaN;;;354.8387;;0 / 18;9009;2022-10-23 22:42:51:142
