sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.0574;3.6619;9.3275;-1.6223;3.9742;8.8173;0.837;0.093;1.1549;0.0741;-2.0301;-1.0528;3.0;15.02;-25.97;-5.02;213.04;-26.26;20.44;5.0;987.74;29.115;35.959312;-83.92232;;NaN;;;2258.0613;;0 / 17;20;2022-10-24 21:12:25:317
-1.2461;4.6971;10.0421;-2.5768;3.7444;8.6896;1.3913;1.5738;0.072;0.2666;-1.1058;-0.9265;3.0;15.77;-27.19;-11.98;214.32;-19.72;8.39;5.0;987.72;43.039;35.959312;-83.92232;;NaN;;;2258.0613;;0 / 17;520;2022-10-24 21:12:25:817
-2.1404;-0.1005;11.1924;-2.2782;3.1298;9.0103;0.3567;0.4721;-1.1893;-0.7555;-0.1241;0.5098;2.0;28.89;-35.91;-15.58;225.21;-24.25;16.32;5.0;987.67;40.956;35.959312;-83.92232;;NaN;;;2258.0613;;0 / 17;1020;2022-10-24 21:12:26:317
-3.3864;-1.7752;14.0318;-1.3716;2.6715;9.3355;-2.5859;-1.5348;-0.5378;-0.024;-0.3852;2.0804;1.0;30.75;-46.05;-20.91;215.68;-18.14;13.6;5.0;987.65;50.563;35.959312;-83.92232;;NaN;;;2258.0613;;0 / 17;1520;2022-10-24 21:12:26:817
0.984;0.9948;6.4496;-1.5124;1.7272;9.5341;0.5543;-1.909;1.9181;-0.6402;-0.5861;-2.2067;1.0;40.18;-57.82;-29.29;214.46;-10.14;9.01;5.0;987.62;52.578;35.959312;-83.92232;;NaN;;;2258.0613;;0 / 17;2021;2022-10-24 21:12:27:318
-2.9937;0.65;10.5006;-1.5721;2.0727;9.4553;-0.6283;-1.436;1.8465;-0.4259;1.0549;0.8374;1.0;72.19;-20.59;-36.15;250.3;-13.54;2.64;5.0;987.61;51.564;35.959312;-83.92232;;NaN;;;2258.0613;;0 / 17;2520;2022-10-24 21:12:27:817
0.4442;0.4681;12.1944;-1.9563;2.0541;9.3874;0.8118;-0.5129;0.4072;-1.4805;-1.2687;-0.9758;1.0;79.09;-20.03;-17.98;260.38;-12.09;11.77;5.0;987.6;35.175;35.959312;-83.92232;;NaN;;;2258.0613;;0 / 17;3020;2022-10-24 21:12:28:317
-3.5671;-0.0526;10.71;-1.2184;2.5541;9.3895;0.1642;-1.0262;1.0561;0.5777;0.8961;0.3;2.0;80.23;-6.9;-28.41;264.87;-12.07;1.64;5.0;987.59;51.237;35.959312;-83.92232;;NaN;;;2258.0613;;0 / 17;3520;2022-10-24 21:12:28:817
0.1292;1.7082;7.4731;-2.2777;2.6139;9.1733;0.5126;-1.3152;1.2985;0.597;-0.629;-1.0012;2.0;80.63;-17.4;-12.39;263.82;-14.0;16.93;5.0;987.54;49.813;35.959312;-83.92232;;NaN;;;2258.0613;;0 / 17;4020;2022-10-24 21:12:29:317
-2.4479;2.9028;5.2454;-3.2145;2.3326;8.9664;0.102;0.1186;-0.5441;-1.8948;0.9519;-0.4684;3.0;74.23;-18.19;-12.02;265.78;-24.34;12.13;5.0;987.52;54.143;35.959312;-83.92232;;NaN;;;2258.0613;;0 / 17;4520;2022-10-24 21:12:29:817
-7.101;2.7736;10.1115;-5.1135;4.3151;7.1695;3.7938;-3.5325;4.1665;3.5408;2.2999;-0.7177;4.0;60.64;-11.02;-14.06;265.91;-12.36;18.14;5.0;987.53;39.292;35.959312;-83.92232;;NaN;;;2258.0613;;0 / 17;5021;2022-10-24 21:12:30:318
0.2309;1.9618;9.0927;-1.8727;1.5915;9.4937;1.8494;-0.6214;-1.3337;0.5588;-0.0027;-0.7938;4.0;49.65;-4.69;-23.59;270.88;-9.23;13.38;5.0;987.52;54.435;35.959312;-83.92232;;NaN;;;2258.0613;;0 / 17;5520;2022-10-24 21:12:30:817
-2.004;2.9435;7.8072;-2.2763;2.0706;9.3114;0.7457;0.3713;-1.3398;0.0859;-0.3375;-0.8313;4.0;38.79;-3.66;-45.77;287.54;-12.85;14.78;5.0;987.5;43.55;35.959312;-83.92232;;NaN;;;2258.0613;;0 / 17;6022;2022-10-24 21:12:31:319
