sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.6823;3.536;9.3515;-3.5823;0.5285;9.1136;0.155;0.6499;-0.1974;1.7095;3.2933;-0.3087;15.0;21.45;-18.97;-37.59;198.72;-3.09;21.46;5.0;991.43;45.836;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;23;2022-10-23 13:37:32:749
5.4814;1.1456;-0.0933;-0.5496;3.2691;9.2294;-1.0871;-1.2556;-2.6847;-0.0047;-4.721;0.0369;10.0;15.94;-17.61;-41.74;258.76;-19.47;3.41;5.0;991.41;55.077;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;523;2022-10-23 13:37:33:249
10.643;0.5195;-0.9673;8.5198;-2.2237;-4.3173;2.2808;1.2912;6.0968;-0.512;-1.1142;1.0417;7.0;-49.43;-24.0;6.0;206.36;13.11;-116.87;5.0;991.45;58.574;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;1024;2022-10-23 13:37:33:750
7.5811;-3.2752;-4.3585;8.8935;3.2951;-2.4937;-1.2546;-6.7196;-1.8338;1.8684;-0.3241;-2.3663;7.0;-59.79;-8.96;23.78;123.72;-1.33;-101.75;5.0;991.41;56.986;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;1524;2022-10-23 13:37:34:250
11.9034;-1.3573;0.5973;8.9517;-2.4476;-3.1695;3.3932;-0.3215;0.0339;-2.9011;0.5497;2.9549;7.0;-56.44;-24.81;28.03;169.02;14.45;-109.5;5.0;991.45;45.642;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;2023;2022-10-23 13:37:34:749
8.694;-3.8928;-2.2911;9.7905;-0.0445;-0.561;-0.5384;-4.5005;-1.3874;1.6566;0.3044;-2.3187;4.0;-71.57;0.21;21.49;166.18;16.47;-102.27;5.0;991.43;53.514;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;2523;2022-10-23 13:37:35:249
10.7578;-2.5929;-0.8402;9.0513;-1.8411;-3.2947;2.0497;-2.5885;-0.5514;-0.0586;-0.5479;2.4831;5.0;-52.54;-34.41;14.1;186.5;10.82;-110.0;5.0;991.48;45.849;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;3024;2022-10-23 13:37:35:750
7.7641;-4.745;-3.5145;9.5788;-0.9961;-1.8507;1.2918;-6.4311;-0.8292;2.0657;-0.44;-3.5119;3.0;-60.36;-4.93;17.53;189.19;30.0;-111.96;5.0;991.43;45.53;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;3523;2022-10-23 13:37:36:249
10.8452;-3.711;-1.7225;7.9771;-4.9483;-2.8375;3.3086;1.1013;1.5341;-1.1065;-0.8112;3.2257;5.0;-46.84;-25.71;20.96;164.26;6.55;-104.11;5.0;991.48;43.132;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;4023;2022-10-23 13:37:36:749
9.5728;-6.0835;-1.2473;9.3369;-2.7423;-1.2131;4.6702;-5.4004;0.2873;1.3003;0.5644;-3.621;3.0;-56.18;6.68;15.68;188.29;40.01;-110.53;5.0;991.46;45.958;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;4524;2022-10-23 13:37:37:250
12.1466;-6.0846;0.6918;8.0182;-4.6725;-3.1697;3.9672;-2.2208;0.3696;-2.5986;-0.2172;4.2439;5.0;-42.66;-25.46;19.05;177.6;28.45;-111.57;5.0;991.46;42.799;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;5024;2022-10-23 13:37:37:750
8.8582;-7.7163;-1.6759;8.8919;-4.0508;-0.8336;7.4444;-5.3958;2.0586;4.1164;-0.16;-4.049;5.0;-53.31;4.29;11.72;208.21;39.23;-119.84;5.0;991.42;42.065;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;5525;2022-10-23 13:37:38:251
12.3811;-6.6509;-0.2656;8.9282;-3.5256;-2.0071;3.7698;-4.4929;-1.0974;-1.9789;0.1726;4.0237;6.0;-28.16;-25.65;16.91;163.57;21.07;-102.67;5.0;991.44;47.141;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;6024;2022-10-23 13:37:38:750
10.7327;-8.5433;-0.4525;6.7693;-6.7444;-2.2045;9.8413;4.2263;2.7266;1.5836;0.0463;-4.1066;3.0;-38.68;-1.18;13.31;179.44;43.45;-108.04;5.0;991.44;45.664;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;6524;2022-10-23 13:37:39:250
13.6786;-7.5652;-1.6699;9.5462;-1.8976;-1.1997;0.8083;-4.2084;-1.5503;0.8908;-0.9522;3.6901;5.0;-28.01;-20.64;18.34;151.45;11.16;-97.16;5.0;991.44;42.987;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;7023;2022-10-23 13:37:39:749
14.7512;-11.5277;0.5339;9.3101;-2.7564;-1.3763;5.7142;-8.3228;1.8826;0.1981;1.0886;-4.2505;2.0;-32.12;0.96;22.31;153.64;49.31;-104.36;5.0;991.44;62.49;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;7523;2022-10-23 13:37:40:249
12.8719;-5.2083;-3.955;9.4242;0.9381;-2.5446;-2.8031;-7.6206;-0.7612;-1.2125;0.4555;3.4186;5.0;-33.9;-14.44;22.11;129.62;-5.49;-105.11;5.0;991.43;56.115;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;8023;2022-10-23 13:37:40:749
13.9193;-8.5732;-2.0961;8.7832;-3.7935;-2.153;5.9033;-2.3078;0.3559;0.7658;0.5171;-3.7627;3.0;-32.21;8.66;26.93;155.5;43.85;-116.5;5.0;991.46;53.637;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;8524;2022-10-23 13:37:41:250
7.6361;-1.1336;-4.9175;8.9094;2.3248;-3.3746;-0.9729;-7.4245;-1.4722;-1.1892;0.8311;2.5233;3.0;-51.81;-21.39;30.36;123.4;-13.71;-110.75;5.0;991.44;48.084;35.95867;-83.924545;791.29;NaN;;;52.112904;;0 / 20;9023;2022-10-23 13:37:41:749
