ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.0033;2.2612;8.4416;-1.6466;2.1424;9.4271;-1.0486;0.3119;-0.2931;-0.0906;6.0E-4;0.2291;7.0;-10.41;-18.97;-41.51;117.38;-13.27;11.83;5.0;987.25;48.664;35.956345;-83.92657;801.89;NaN;;0.0;37.626877;;0 / 18;10;2022-10-26 20:49:03:151
-1.2556;3.8019;11.8998;-0.9628;2.6949;9.3798;2.6135;0.3524;1.5195;-0.559;-0.0299;-0.0309;5.0;-17.18;-18.92;-39.66;110.41;-15.95;5.86;5.0;987.3;49.136;35.95634;-83.92656;803.06;NaN;;0.86;27.294436;92.1;9 / 18;509;2022-10-26 20:49:03:650
-0.8007;4.654;9.775;-1.942;2.151;9.3687;-0.374;1.6845;0.596;0.0756;0.1405;-0.4433;0.0;-16.54;-20.59;-38.96;117.65;-12.67;11.71;5.0;987.28;52.399;35.95634;-83.92656;803.06;NaN;;0.86;27.294436;92.1;9 / 18;1010;2022-10-26 20:49:04:151
-3.5707;2.7102;10.011;-2.0759;2.8999;9.1352;-1.0466;0.5325;-0.4234;0.4022;-0.5089;-0.5648;1.0;-11.57;-21.73;-39.9;116.14;-16.9;14.76;5.0;987.26;59.542;35.956326;-83.92652;807.88;NaN;;2.7;22.744911;103.9;12 / 18;1509;2022-10-26 20:49:04:650
-4.7665;1.9128;11.1613;-2.9788;1.6485;9.1967;-0.0829;0.8906;-2.1447;-0.035;0.1319;0.0807;6.0;-4.22;-25.84;-37.74;144.32;-10.62;14.89;5.0;987.27;56.507;35.956326;-83.92652;807.88;NaN;;2.7;22.744911;103.9;12 / 18;2009;2022-10-26 20:49:05:150
-2.2516;2.2134;9.1932;-2.819;3.1981;8.8315;0.6618;-0.3929;-0.9192;-0.0841;-0.3949;-0.7412;7.0;-1.14;-26.76;-37.18;140.84;-14.79;20.92;5.0;987.27;59.439;35.95633;-83.9265;811.24;NaN;;4.5;19.878069;91.8;12 / 20;2509;2022-10-26 20:49:05:650
-5.3653;1.2197;9.4759;-3.026;1.9974;9.1118;-0.4064;0.6328;-2.7913;-0.4151;0.0321;-0.0563;7.0;-0.51;-27.97;-36.34;149.07;-11.75;18.37;5.0;987.27;58.992;35.95633;-83.9265;811.24;NaN;;4.5;19.878069;91.8;12 / 20;3009;2022-10-26 20:49:06:150
-1.78;-1.421;9.8865;-3.1626;1.0024;9.2284;0.8377;0.2753;-0.535;-0.441;-0.854;-0.365;6.0;0.47;-24.07;-39.47;142.3;-7.31;22.39;5.0;987.24;55.578;35.956326;-83.92648;813.34;NaN;;4.75;19.788792;102.9;12 / 20;3509;2022-10-26 20:49:06:650
-1.4749;6.2175;7.9125;-1.7486;3.0599;9.1515;-0.4547;-0.7357;-2.1001;0.2827;0.0016;-0.1913;6.0;-4.67;-21.69;-40.97;124.39;-18.18;10.82;5.0;987.22;56.341;35.956326;-83.92648;813.34;NaN;;4.75;19.788792;102.9;12 / 20;4009;2022-10-26 20:49:07:150
2.3868;5.5675;3.8354;2.1197;6.0002;7.4616;-0.5728;-1.2859;-0.9281;0.6105;-0.0597;0.3724;3.0;-18.11;-36.41;-24.17;136.51;-37.72;-15.86;5.0;987.25;63.005;35.956326;-83.92646;820.75;NaN;;4.54;17.838705;100.2;13 / 20;4509;2022-10-26 20:49:07:650
0.3365;4.6146;9.8794;1.0952;5.1173;8.2936;-0.5421;-0.3681;0.5186;-0.0678;0.2882;-0.1812;1.0;-22.86;-36.32;-21.82;134.12;-30.7;-11.5;5.0;987.22;52.226;35.956326;-83.92646;820.75;NaN;;4.54;17.838705;100.2;13 / 20;5009;2022-10-26 20:49:08:150
1.6352;6.7681;7.5018;0.7795;5.341;8.1876;-0.8638;-0.9985;-0.7092;0.3532;-0.1189;0.4348;2.0;-18.06;-37.76;-24.24;137.43;-32.65;-1.85;5.0;987.19;55.129;35.95632;-83.926445;819.23;NaN;;4.86;15.455058;98.7;13 / 20;5509;2022-10-26 20:49:08:650
0.4573;5.3498;7.3235;-3.4209;3.5284;8.4863;5.1989;3.7746;-0.0559;-0.8993;-1.1622;-1.1098;2.0;-16.82;-30.07;-30.66;126.28;-20.22;24.94;5.0;987.23;55.273;35.95632;-83.926445;819.23;NaN;;4.86;15.455058;98.7;13 / 20;6009;2022-10-26 20:49:09:150
-3.0488;3.3793;5.4311;-3.7132;3.447;8.3965;1.2579;-0.3266;-3.8757;-0.492;1.8614;1.5713;2.0;-10.87;-16.58;-42.94;97.59;-20.58;23.86;5.0;987.23;56.598;35.956318;-83.92642;821.9;NaN;;4.64;14.510296;95.6;13 / 20;6510;2022-10-26 20:49:09:651
-2.8669;-7.8239;-9.5345;-8.7967;-3.4607;-2.61;0.8501;-10.2742;7.7114;10.4773;4.3911;-0.8397;5.0;26.49;2.96;-30.07;94.71;20.66;106.53;5.0;987.25;51.9;35.956318;-83.92642;821.9;NaN;;4.64;14.510296;95.6;13 / 20;7010;2022-10-26 20:49:10:151
-7.3403;-3.451;-0.1304;-6.9549;-6.9043;0.3604;-1.8263;0.3009;-1.8183;-0.2125;-2.2043;1.9763;5.0;42.86;16.76;-9.36;136.99;52.98;104.82;5.0;987.26;53.523;35.95632;-83.926414;804.03;NaN;;3.02;14.439629;85.7;13 / 20;7510;2022-10-26 20:49:10:651
-6.1804;-2.2289;1.7668;-8.8427;-3.674;2.1161;-0.3888;0.6367;1.2656;1.454;-1.5804;-0.1376;4.0;36.68;8.34;-28.41;104.66;20.2;83.8;5.0;987.23;51.268;35.95632;-83.926414;804.03;NaN;;3.02;14.439629;85.7;13 / 20;8009;2022-10-26 20:49:11:150
-6.8566;-3.1603;1.9008;-9.5301;-1.1287;2.0184;0.8134;-1.0527;-0.4707;1.4074;1.328;1.6859;0.0;33.36;-2.34;-31.46;126.68;19.14;73.49;0.0;987.23;53.253;35.95632;-83.92641;799.56;NaN;;5.04;14.560853;83.4;13 / 20;8509;2022-10-26 20:49:11:650
-8.3961;0.7361;4.6457;-9.4271;1.6127;2.1679;1.1228;-2.3861;0.8197;-0.23;-1.1943;-0.994;1.0;35.06;-18.92;-20.92;118.74;-14.44;83.04;0.0;987.23;51.514;35.95632;-83.92641;799.56;NaN;;5.04;14.560853;83.4;13 / 20;9009;2022-10-26 20:49:12:150
