ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.9471;0.5913;9.1514;-3.3818;-0.0757;9.2048;0.8133;0.964;0.6763;1.6025;0.788;-0.0224;1729.0;13.59;-25.5;-34.2;183.08;0.44;20.17;5.0;978.35;52.644;35.95848;-83.92486;792.08;NaN;;6.7;31.163704;105.9;9 / 17;72;2022-10-17 16:41:27:336
-3.3314;1.2628;7.3582;-0.8813;1.3544;9.6726;-2.4428;0.2352;-1.6018;-0.4422;0.1034;-0.7028;1921.0;15.94;-20.06;-37.44;221.67;-9.76;6.47;5.0;978.4;54.262;35.95848;-83.92486;792.08;NaN;;6.7;31.163704;105.9;9 / 17;572;2022-10-17 16:41:27:836
10.7052;0.8692;-2.2205;7.3874;5.0912;3.9594;-3.2185;-3.0983;-0.6478;0.3661;-1.4046;0.3865;1723.0;-1.65;-26.29;-31.37;242.55;-31.28;-61.81;5.0;978.34;53.578;35.958473;-83.92487;793.0;NaN;;5.83;25.716934;92.3;10 / 17;1072;2022-10-17 16:41:28:336
9.7223;2.2014;0.3042;9.3928;-0.5812;-2.7582;-1.3718;1.5447;3.2824;-1.5894;-0.1541;1.057;565.0;-31.5;-30.09;-0.99;196.52;-1.69;-103.84;5.0;978.37;55.616;35.958473;-83.92487;793.0;NaN;;5.83;25.716934;92.3;10 / 17;1572;2022-10-17 16:41:28:836
8.4942;-2.9865;-3.256;9.6309;1.1384;-1.4563;2.0179;-3.3569;-0.051;2.6968;-0.6082;-2.4934;182.0;-39.36;-17.4;4.91;184.12;-6.67;-98.6;5.0;978.32;55.537;35.958473;-83.92487;793.0;NaN;;5.83;25.716934;92.3;11 / 17;2072;2022-10-17 16:41:29:336
13.1064;1.3717;-6.1433;9.1114;-0.5481;-3.5851;-1.6275;0.0977;1.6862;2.6016;-2.2092;2.1248;175.0;-28.84;-26.83;13.46;176.63;-8.88;-111.84;5.0;978.38;53.221;35.958473;-83.92487;793.0;NaN;;5.83;25.716934;92.3;11 / 17;2572;2022-10-17 16:41:29:836
6.2474;-3.1555;-4.6074;8.2192;3.5555;-3.9967;-1.212;-6.6435;-0.2922;0.8392;0.0462;-2.9583;179.0;-33.77;-12.73;18.15;159.09;-3.72;-111.92;5.0;978.35;53.43;35.95848;-83.92488;784.45;NaN;;5.58;20.458588;162.4;11 / 17;3072;2022-10-17 16:41:30:336
9.3515;1.3238;-3.2357;8.65;-0.32;-4.6094;-0.6901;0.1198;0.9153;-0.5189;-0.584;2.2994;169.0;-25.76;-26.4;19.29;166.97;-11.16;-118.17;5.0;978.36;54.176;35.95848;-83.92488;784.45;NaN;;5.58;20.458588;162.4;11 / 17;3572;2022-10-17 16:41:30:836
5.6309;-3.3709;-4.386;8.4078;4.1816;-2.8272;-0.2348;-7.4196;-1.9803;0.5696;0.6489;-3.0782;179.0;-34.71;-16.28;16.61;68.19;-25.24;-108.59;5.0;978.36;53.53;35.958473;-83.92489;786.38;NaN;;5.29;19.75006;162.4;11 / 17;4072;2022-10-17 16:41:31:336
8.7769;1.8458;-1.4498;7.6289;-0.5382;-6.1385;2.2394;-1.1173;1.1833;-2.4189;-0.7449;2.4985;169.0;-24.82;-27.0;19.61;173.0;-8.57;-123.84;5.0;978.37;54.681;35.958473;-83.92489;786.38;NaN;;5.29;19.75006;162.4;11 / 17;4572;2022-10-17 16:41:31:836
10.7124;-2.6874;-0.8429;7.917;0.1529;-5.7852;0.589;2.9173;2.3963;2.9095;0.8167;-0.6544;215.0;-34.86;-16.44;16.76;204.21;-0.89;-126.16;5.0;978.35;55.329;35.95847;-83.92489;788.47;NaN;;3.24;17.425385;162.4;11 / 17;5071;2022-10-17 16:41:32:335
7.6289;-3.5719;-5.662;7.9463;4.202;-3.9205;-3.1172;-4.3444;-2.2294;-0.3231;-0.3606;0.7277;188.0;-31.99;-23.89;13.78;193.39;-25.37;-116.26;5.0;978.36;56.973;35.95847;-83.92489;788.47;NaN;;3.24;17.425385;162.4;11 / 17;5573;2022-10-17 16:41:32:837
17.3584;3.2716;1.0307;7.4973;-2.2495;-5.9077;4.6813;5.6509;5.6364;0.195;0.2158;0.4403;180.0;-30.45;-25.07;12.41;188.52;6.21;-119.34;5.0;978.36;57.614;35.958454;-83.92488;793.65;NaN;;5.94;15.922663;162.4;11 / 17;6072;2022-10-17 16:41:33:336
9.1514;-2.0853;-4.5595;8.5045;3.5181;-3.3862;-1.3189;-7.7373;-1.7312;0.6228;-0.2172;-0.4985;258.0;-38.4;-14.94;4.41;257.98;-19.6;-106.98;5.0;978.36;55.821;35.958454;-83.92488;793.65;NaN;;5.94;15.922663;162.4;11 / 17;6573;2022-10-17 16:41:33:837
14.5968;2.4096;1.817;8.4352;-2.6179;-4.2619;4.4115;5.5406;-0.1115;-0.8745;0.2973;0.262;315.0;-35.76;-22.16;6.21;199.63;15.48;-116.8;5.0;978.37;59.375;35.958447;-83.92488;810.37;NaN;;4.46;15.831789;162.4;11 / 17;7072;2022-10-17 16:41:34:336
10.2132;-1.7704;-4.4363;8.8605;2.8693;-3.0706;-1.3135;-6.4889;-1.6341;0.0131;-0.1939;-0.1612;318.0;-37.82;-18.43;6.32;219.47;-16.57;-106.82;5.0;978.37;59.817;35.958447;-83.92488;810.37;NaN;;4.46;15.831789;162.4;11 / 17;7572;2022-10-17 16:41:34:836
13.6128;4.6792;-2.8956;8.1339;-2.0218;-5.0914;2.437;5.13;1.5948;0.2753;0.4484;-0.2697;373.0;-35.91;-20.01;9.19;203.14;11.9;-122.04;5.0;978.35;59.23;35.95844;-83.92487;805.02;NaN;;4.25;15.47487;162.4;11 / 17;8072;2022-10-17 16:41:35:336
