sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.8043;4.453;9.0054;-0.3508;1.6009;9.6687;-0.8614;0.7813;-1.8952;-1.1508;1.2212;-0.2943;30132.998;5.03;-37.44;-24.69;183.98;-20.89;7.32;5.0;979.57;52.92;35.958263;-83.92478;787.28;NaN;;4.75;20.165695;142.1;12 / 18;26;2022-10-13 12:43:20:556
0.0502;1.0714;10.2108;-0.2561;1.0748;9.7442;0.255;-0.3163;0.4422;-0.5197;0.1003;-0.3673;44558.0;-2.38;-32.74;-31.28;173.89;-8.55;1.85;5.0;979.58;55.583;35.958256;-83.92478;782.49;NaN;;4.46;18.575172;145.2;12 / 18;527;2022-10-13 12:43:21:057
0.2118;-0.0933;9.1035;-0.727;0.3274;9.7742;-1.5887;0.6096;1.5035;0.0964;-1.0013;0.6663;84924.0;0.47;-26.89;-35.29;174.26;-1.91;4.25;5.0;979.54;56.954;35.958256;-83.92478;782.49;NaN;;4.46;18.575172;145.2;12 / 18;1026;2022-10-13 12:43:21:556
2.2672;0.3006;8.5576;1.2734;-0.177;9.722;0.9396;-1.6139;2.8593;-0.055;0.035;-0.479;99600.0;-6.54;-22.26;-39.92;175.61;1.03;-7.46;5.0;979.57;55.35;35.95825;-83.924774;780.98;NaN;;4.75;16.346098;148.6;12 / 18;1526;2022-10-13 12:43:22:056
0.9924;-0.65;9.9512;0.2077;0.0794;9.8041;0.5069;-0.9233;0.5421;0.8931;-0.4663;0.8712;99131.0;-5.59;-22.37;-41.25;167.79;3.47;-0.99;5.0;979.54;57.485;35.95825;-83.924774;780.98;NaN;;4.75;16.346098;148.6;12 / 18;2027;2022-10-13 12:43:22:557
2.345;0.0455;10.3256;0.6744;-0.3311;9.7778;0.4467;-0.4587;1.4975;0.0978;-0.2788;-0.0234;84134.0;-7.01;-25.18;-41.16;166.56;-1.96;-1.9;5.0;979.53;56.492;35.958237;-83.92477;777.44;NaN;;4.79;15.350099;152.1;12 / 18;2527;2022-10-13 12:43:23:057
-0.8991;0.2827;8.2035;0.1087;-0.4161;9.7972;-1.2014;-1.495;3.2142;-0.1579;0.3412;0.4868;105318.0;-6.04;-23.08;-41.61;169.33;5.06;-1.34;5.0;979.54;54.227;35.958237;-83.92477;777.44;NaN;;4.79;15.350099;152.1;12 / 18;3029;2022-10-13 12:43:23:559
1.9259;1.2879;10.7686;0.2896;0.5997;9.784;0.0934;-1.6403;-0.712;0.2244;-0.8976;-0.3332;95628.0;-7.11;-24.94;-38.27;165.45;-3.51;-1.7;5.0;979.55;58.52;35.958225;-83.92477;775.8;NaN;;4.32;15.484321;154.8;12 / 18;3527;2022-10-13 12:43:24:057
-0.0036;1.78;10.8691;0.6782;2.3008;9.5088;0.184;0.4157;0.7745;0.2427;0.1249;-0.0022;32036.0;-12.17;-30.71;-32.21;158.22;-15.07;-6.11;5.0;979.53;55.381;35.958225;-83.92477;775.8;NaN;;4.32;15.484321;154.8;12 / 18;4027;2022-10-13 12:43:24:557
-0.5758;-0.1005;12.4158;0.6961;2.0871;9.5567;0.4271;0.7371;-1.1632;-0.2871;-0.0773;-0.5098;38617.0;-12.6;-30.53;-33.21;155.4;-12.29;-4.17;5.0;979.55;54.797;35.958218;-83.92476;772.74;NaN;;4.68;14.721355;156.7;12 / 18;4528;2022-10-13 12:43:25:058
-2.7054;1.7225;9.9404;-0.8506;2.7131;9.3854;0.8607;1.7315;1.3571;-2.4506;1.2616;-0.3003;32659.002;-12.58;-33.09;-32.87;145.24;-16.06;5.18;5.0;979.56;55.68;35.958218;-83.92476;772.74;NaN;;4.68;14.721355;156.7;12 / 18;5027;2022-10-13 12:43:25:557
-0.0239;0.8055;10.4312;0.8935;2.2513;9.5028;0.7417;-0.4786;1.2519;-0.43;-0.6911;-0.0694;64219.0;-8.74;-29.94;-34.44;159.09;-15.27;-2.35;5.0;979.5;56.285;35.958202;-83.92476;776.02;NaN;;4.68;15.230403;154.0;11 / 18;5527;2022-10-13 12:43:26:057
-0.9829;1.7895;9.6673;0.7462;2.6058;9.4246;-0.2636;-0.402;2.8385;0.8687;0.1455;0.4016;38313.0;-13.86;-33.81;-30.32;157.68;-12.6;-5.94;5.0;979.51;56.117;35.958202;-83.92476;776.02;NaN;;4.68;15.230403;154.0;11 / 18;6026;2022-10-13 12:43:26:556
2.9363;4.1118;9.4017;1.2167;3.6712;9.0118;1.7282;1.2377;-0.0247;0.1323;-0.1416;-0.0017;21619.0;-15.21;-37.41;-25.69;154.76;-23.76;-9.24;5.0;979.52;55.632;35.95819;-83.92475;774.77;NaN;;4.79;15.141535;157.3;11 / 18;6526;2022-10-13 12:43:27:056
0.5782;5.3414;8.6055;0.7828;4.6905;8.5766;0.5931;0.0654;1.5794;-0.4283;0.5566;0.3411;19693.0;-14.85;-40.26;-22.65;151.36;-28.57;-5.21;5.0;979.53;54.94;35.95819;-83.92475;774.77;NaN;;4.79;15.141535;157.3;11 / 18;7026;2022-10-13 12:43:27:556
